*******************************************************************************
 Revised: Feb 28, 2023          Solar Dynamics Observatory              -136395
                                 http://sdo.gsfc.nasa.gov/
 
 BACKGROUND:
  SDO launched February 11, 2010, 15:23 am UTC on an Atlas V from SLC 41
  at Cape Canaveral.
 
  Initial post-launch perigee was 2500 km.
  After a series of engine burns, SDO was placed in geosynchronous orbit.
 
  Configuration was completed and data-taking began in mid-May 2010.
 
  Mission lifespan is planned at 5 years 3 months, with 10 years of onboard
   expendables.
 
 SDO SPACECRAFT:
  SDO is a Sun-pointing, 3-axis stabilized, semi-autonomous spacecraft with
  two solar arrays and two high-gain antennas that allow nearly continuous
  observations of the Sun with a continuous science data downlink rate of
  130 Megabits per second (Mbps).
 
    * Total mass at launch was 3000 kg (6620 lb);
        instruments 300 kg (660 lb),
        spacecraft 1300 kg (2870 lb),
        fuel 1400 kg (3090 lb).
    * Length along the sun-pointing axis is 4.5 m; each side is 2.22 m.
    * Span of extended solar panels is 6.25 m.
    * Total available power is 1500 W from 6.6 m^2 of solar arrays
       operating at an efficiency of 16%
    * High-gain antennas rotate once each orbit to follow the Earth.
 
 SCIENCE INSTRUMENTS:
  * Atmospheric Imaging Assembly (AIA)
  * EUV Variability Experiment (EVE)
  * Helioseismic and Magnetic Imager (HMI)
 
 SCIENCE GOALS:
  1. What mechanisms drive the quasi-periodic 11-year cycle of solar activity?
  2. How is active region magnetic flux synthesized, concentrated, and
      dispersed across the solar surface?
  3. How does magnetic reconnection on small scales reorganize the large-scale
      field topology and current systems and how significant is it in heating
      the corona and accelerating the solar wind?
  4. Where do the observed variations in the Sun's EUV spectral irradiance
      arise, and how do they relate to the magnetic activity cycles?
  5. What magnetic field configurations lead to the CMEs, filament eruptions,
      and flares that produce energetic particles and radiation?
  6. Can the structure and dynamics of the solar wind near Earth be determined
      from the magnetic field configuration and atmospheric structure near the
      solar surface?
  7. When will activity occur, and is it possible to make accurate and
      reliable forecasts of space weather and climate?
 
 SPACECRAFT TRAJECTORY:
  General: inclination: 28.5 degrees, longitude: 102 deg W, altitude: 36,000 km
 
  Beginning 2018-Dec-02, concatenations of weekly trajectory data provided by 
  the SDO mission are used for better accuracy. This data includes predicted 
  maneuvers, etc. For prior intervals, concatenated JSpOC TLEs are used.

  Trajectory name                                   Start (TDB)    Stop (TDB)
  ----------------------------------------------    -----------   -----------
  sdo_tle                                           2010-Feb-11   2018-Dec-02
  SDO_EPHEM_2018349*2023099_0[0-2]                  2018-Dec-02   2023-Apr-08
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Mar  5 04:30:50 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Solar Dynamics Observatory (spacecraft) (-136395) {source: sdo_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2011-Jan-27 20:00:00.0000 TDB
Stop  time      : A.D. 2011-Jan-27 21:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Keplerian GM    : 1.3271244004127939E+11 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455589.333333333, A.D. 2011-Jan-27 20:00:00.0000,  1.356850066790420E-01,  1.121596154110891E+08,  3.941609726344720E+00,  3.074637015381873E+02,  4.984304666822388E+00,  2.455447207425500E+06,  1.411990427647554E-05,  1.733878840734963E+02,  1.749187770806103E+02,  1.297670597846952E+08,  1.473745041583012E+08,  2.549592355238398E+07,
2455589.334027778, A.D. 2011-Jan-27 20:01:00.0000,  1.353277073286094E-01,  1.122452397734627E+08,  3.953667029507812E+00,  3.074634067153314E+02,  5.135554470319903E+00,  2.455447290012558E+06,  1.411249709896729E-05,  1.731970730348992E+02,  1.747684730534657E+02,  1.298124627385513E+08,  1.473796857036400E+08,  2.550930550953621E+07,
2455589.334722222, A.D. 2011-Jan-27 20:02:00.0000,  1.349685404233643E-01,  1.123314695470145E+08,  3.965637055297296E+00,  3.074631177657566E+02,  5.287730637429979E+00,  2.455447372870980E+06,  1.410503415525500E-05,  1.730053521084283E+02,  1.746172369456123E+02,  1.298582477011782E+08,  1.473850258553419E+08,  2.552280242908010E+07,
2455589.335416667, A.D. 2011-Jan-27 20:03:00.0000,  1.346075227425793E-01,  1.124183031327026E+08,  3.977519577873951E+00,  3.074628345946859E+02,  5.440845774954162E+00,  2.455447456013485E+06,  1.409751561835564E-05,  1.728127096362645E+02,  1.744650562460091E+02,  1.299044145714968E+08,  1.473905260102910E+08,  2.553641434035816E+07,
2455589.336111111, A.D. 2011-Jan-27 20:04:00.0000,  1.342446712553454E-01,  1.125057389062182E+08,  3.989314374226455E+00,  3.074625571089872E+02,  5.594912646169099E+00,  2.455447539452965E+06,  1.408994166250625E-05,  1.726191338015197E+02,  1.743119182854910E+02,  1.299509632465694E+08,  1.473961875869206E+08,  2.555014127261937E+07,
2455589.336805556, A.D. 2011-Jan-27 20:05:00.0000,  1.338800031230821E-01,  1.125937752175217E+08,  4.001021224173316E+00,  3.074622852171331E+02,  5.749944173285115E+00,  2.455447623202485E+06,  1.408231246315861E-05,  1.724246126257970E+02,  1.741578102343500E+02,  1.299978936215718E+08,  1.474020120256219E+08,  2.556398325500962E+07,
2455589.337500000, A.D. 2011-Jan-27 20:06:00.0000,  1.335135357020917E-01,  1.126824103903712E+08,  4.012639910364453E+00,  3.074620188291634E+02,  5.905953439929073E+00,  2.455447707275290E+06,  1.407462819697370E-05,  1.722291339667220E+02,  1.740027190998900E+02,  1.300452055897663E+08,  1.474080007891614E+08,  2.557794031656244E+07,
2455589.338194444, A.D. 2011-Jan-27 20:07:00.0000,  1.331452865461736E-01,  1.127716427218414E+08,  4.024170218282749E+00,  3.074617578566490E+02,  6.062953693653360E+00,  2.455447791684807E+06,  1.406688904181618E-05,  1.720326855154494E+02,  1.738466317239545E+02,  1.300928990424740E+08,  1.474141553631066E+08,  2.559201248618935E+07,
2455589.338888889, A.D. 2011-Jan-27 20:08:00.0000,  1.327752734092900E-01,  1.128614704818335E+08,  4.035611936245395E+00,  3.074615022126550E+02,  6.220958348469923E+00,  2.455447876444648E+06,  1.405909517674879E-05,  1.718352547941424E+02,  1.736895347804282E+02,  1.301409738690476E+08,  1.474204772562617E+08,  2.560619979267053E+07,
2455589.339583333, A.D. 2011-Jan-27 20:09:00.0000,  1.324035142482942E-01,  1.129518919125748E+08,  4.046964855405017E+00,  3.074612518117057E+02,  6.379980987408882E+00,  2.455447961568607E+06,  1.405124678202675E-05,  1.716368291534282E+02,  1.735314147727144E+02,  1.301894299568430E+08,  1.474269680011111E+08,  2.562050226464485E+07,
